,kamar_mandi,kamar,lb,lt,tipe_property,price,sertifikat,deskripsi,lokasi,ada_garasi,pool,taman,electricity,floors_total,gym
256,2.0,4.0,36.0,18.0,Rumah,360000000.0,0,""" soft launching ""
hadir kembali hunian di jakarta pusat
banyaknya permintaan pembeli tentang rumah yang dapat memuat kamar lebih banyak terutama perumahan di jakarta pusat.
maka kami hadirkan rumah dengan luasan tanah dan bangunan yang cukup untuk sebuah keluarga dengan rincian sebagai berikut :",Johar Baru,1,0,0,,2.0,0
257,3.0,4.0,100.0,50.0,Rumah,1250000000.0,1,"dipasarkan kembali rumah baru (inden) harga murah lokasi bagus di johar baru dekat rutan salemba. 
foto adalah bangunan lama yang akan dibongkar. pembangunan sekitar 4 bulan. 
spesifikasi:
lt 50m2
( 4,5 x 11an meter) 
lb 100m2
2 lantai
shm + imb lengkap
2km 2kt
bisa request desain dan km kt
1 garasi
jalan 2 mobil
bebas banjir",Johar Baru,1,0,0,,2.0,0
258,2.0,4.0,33.0,17.0,Rumah,384000000.0,0,"dijual rumah murah minimalis modern strategis rasela johar jakpus
*lokasi dan akses strategis*:
- 5menit ke halte busway cikini, cmp pth
- 5mnit stasiun sentiong &krmat salemba
- 10menit ke stasiun cikini/psr senen",Johar Baru,1,0,0,,2.0,0
260,2.0,4.0,31.0,16.0,Rumah,360000000.0,0,"rumah baru 2 lantai konsep townhouse lokasi sangat strategis di jakarta pusat dekat dengan area bisnis, akses transportasi sangat mudah di lalui angkutan. pilihan tepat untuk rumah tinggal di pusat kota jakarta dengan harga terjangkau dan akses tak terbatas, atau sebagai investasi anda yang sangat menguntungkan di masa depan.                                     

unit terbatas!! boleh request ubah tata ruang.",Johar Baru,1,0,0,,2.0,0
261,3.0,4.0,100.0,50.0,Rumah,1100000000.0,1,"hot property turun harga
rumah baru 2 lantai paling murah di kelasnya lokasi johar baru dekat rutan salemba.
$ paling murah di kelasnya
$ developer berpengalaman sejak 2015
$ desain suka2 pembeli

spesifikasi:
rumah inden sudah dibangun 1 lantai
ready dalam 2/3 bulan
lt 50m2
( 4,5 x 11an meter) 
lb 100m2
2 lantai
shm + imb lengkap
2km 2kt
bisa request desain dan km kt
1 garasi
jalan 2 mobil",Johar Baru,1,0,0,,2.0,0
263,5.0,7.0,260.0,219.0,Rumah,3300000000.0,0,"dijual rumah di johar baru cempaka putih 

lt :   219     m2
lb :     260  m2
lantai :.   1.5   (brp lantai)",Johar Baru,1,0,0,,2.0,0
264,2.0,4.0,42.0,21.0,Rumah,680000000.0,0,"hadir perumahan di jakarta dengan konsep upperware yaitu memanfaatkan lahan kecil semaksimal mungkin untuk dapat bermanfaat sebagai tempat tinggal, mengingat kebutuhan akan rumah di jakarta sangat tinggi apalagi bagi yang beraktifitas di jakarta.

hemat waktu dan efisiensi ongkos adalah alasan tepat. selain itu membeli rumah sama halnya berinvestasi karena harga tanah terus naik.",Johar Baru,1,0,0,,2.0,0
265,2.0,3.0,32.0,18.0,Rumah,415000000.0,1,"di jual !!
rumah cluster 2 cantik strategis
jl. johar baru 6 jakarta pusat
luas tanah : 12 m2 s/d 22m2
luas bangunan : 18 m2 s/d 50 m2
price start : rp 600 jutaan
payment : kpr & cash bertahap
legal document : shm
booking fee : rp 10 juta",Johar Baru,1,0,0,,2.0,0
266,2.0,4.0,31.0,16.0,Rumah,360000000.0,0,"di jual.. !!
""rumah cluster modern - pangkalan asem rawa tengah""
jl. rawa tengah pangkalan asem
cluster rawa tengah tempat tinggal nyaman/investasi terbaik dengan lokasi yang sangat strategis & nyaman di tengah kota pusat jakarta.
rumah 2 lantai dengan new design minimalis,elegan & modern",Johar Baru,1,0,0,,2.0,0
267,4.0,4.0,75.0,25.0,Rumah,1100000000.0,0,"dijual rumah model cluster di cempaka putih!

luas tanah : 5x5

lantai 1 bisa untuk garasi mobil ya.",Johar Baru,1,0,0,,2.0,0
268,2.0,4.0,31.0,16.0,lainnya,360000000.0,0,"open sale !!

""onasis rasela vi - johar""
jl. rawaselatan 6, johar, jakarta pusat.
(cluster 2 lantai - 13 unit)",Johar Baru,1,0,0,,2.0,0
269,2.0,4.0,25.0,50.0,Rumah,800000000.0,0,"di jual cepat rumah murah  siap huni daerah johar baru jakarta pusat
luas tanah 25 
luas bangunan 50 

lokasi strategis",Johar Baru,1,0,0,,2.0,0
270,2.0,4.0,30.0,18.0,lainnya,485000000.0,0,"di jual !!
hunian baru
cluster 2 lantai di jl.rawa selatan,johar baru jakarta pusat
jakarta pusat
hunian strategis di pusat kota
bersih & aman sangat bagus buat infestasi
luas tanah : 18 m2 s/d 30 m2
luas bangunan : 35 m2 s/d 44 m2",Johar Baru,1,0,0,,2.0,0
271,2.0,4.0,42.0,21.0,Rumah,360000000.0,0,"cluster kampung rawa tengah adalah suatu kompleks perumahan mini (kecil) dengan bangunan 2 lantai guna memenuhi kebutuhan akan tempat tinggal di jakarta dengan harga yang terjangkau.

banyak yang membeli apartemen kini beralih ke perumahan mini atau town house karena ukuran dan luasnya tidak beda jauh dengan rumah mini.",Johar Baru,1,0,0,,2.0,0
272,2.0,4.0,42.0,42.0,Rumah,680000000.0,0,"telah hadir di pusat kota jakarta rumah minimalis dengan harga murah
cluster ' mandala ' johar baru jakarta pusat
"" interior design!!
luas tanah dan luas bangunan bervariasi
rumah 2 lantai di jln johar baru 6 , johar baru
jakarta pusat",Johar Baru,1,0,0,,2.0,0
